,Hotel Name,Hotel URL
0,      The Upper House,/Hotel_Review-g294217-d1513860-Reviews-The_Upper_House-Hong_Kong.html
1,      W Hong Kong,/Hotel_Review-g294217-d1068719-Reviews-W_Hong_Kong-Hong_Kong.html
2,      Hotel ICON,/Hotel_Review-g294217-d2031570-Reviews-Hotel_ICON-Hong_Kong.html
3,      The St. Regis Hong Kong,/Hotel_Review-g294217-d16913872-Reviews-The_St_Regis_Hong_Kong-Hong_Kong.html
4,"      The Ritz-Carlton, Hong Kong",/Hotel_Review-g294217-d2016610-Reviews-The_Ritz_Carlton_Hong_Kong-Hong_Kong.html
5,"      The Murray, Hong Kong, a Niccolo Hotel",/Hotel_Review-g294217-d13009537-Reviews-The_Murray_Hong_Kong_a_Niccolo_Hotel-Hong_Kong.html
6,"      Mandarin Oriental, Hong Kong",/Hotel_Review-g294217-d301413-Reviews-Mandarin_Oriental_Hong_Kong-Hong_Kong.html
7,      Nina Hotel Causeway Bay,/Hotel_Review-g294217-d596991-Reviews-Nina_Hotel_Causeway_Bay-Hong_Kong.html
8,"      Island Shangri-La, Hong Kong",/Hotel_Review-g294217-d302130-Reviews-Island_Shangri_La_Hong_Kong-Hong_Kong.html
9,      Nina Hotel Kowloon East,/Hotel_Review-g294217-d3205411-Reviews-Nina_Hotel_Kowloon_East-Hong_Kong.html
10,      One-Eight-One Hotel & Serviced Residences,/Hotel_Review-g294217-d12403779-Reviews-One_Eight_One_Hotel_Serviced_Residences-Hong_Kong.html
11,      Four Seasons Hotel Hong Kong,/Hotel_Review-g294217-d548045-Reviews-Four_Seasons_Hotel_Hong_Kong-Hong_Kong.html
12,      K11 Artus,/Hotel_Review-g294217-d15755033-Reviews-K11_Artus-Hong_Kong.html
13,"      The Landmark Mandarin Oriental, Hong Kong",/Hotel_Review-g294217-d575999-Reviews-The_Landmark_Mandarin_Oriental_Hong_Kong-Hong_Kong.html
14,      Lodgewood by Nina Hospitality I Mong Kok,/Hotel_Review-g294217-d4036898-Reviews-Lodgewood_by_Nina_Hospitality_I_Mong_Kok-Hong_Kong.html
15,      Nina Hotel Island South,/Hotel_Review-g294217-d1765545-Reviews-Nina_Hotel_Island_South-Hong_Kong.html
16,"      Cordis, Hong Kong",/Hotel_Review-g294217-d305813-Reviews-Cordis_Hong_Kong-Hong_Kong.html
17,"      The Fleming, Hong Kong",/Hotel_Review-g294217-d585224-Reviews-The_Fleming_Hong_Kong-Hong_Kong.html
18,      Nina Hotel Tsuen Wan West,/Hotel_Review-g294217-d649076-Reviews-Nina_Hotel_Tsuen_Wan_West-Hong_Kong.html
19,      Two MacDonnell Road,/Hotel_Review-g294217-d558384-Reviews-Two_MacDonnell_Road-Hong_Kong.html
20,      Hotel Madera Hollywood,/Hotel_Review-g294217-d8522570-Reviews-Hotel_Madera_Hollywood-Hong_Kong.html
21,      Alva Hotel by Royal,/Hotel_Review-g294217-d17613159-Reviews-Alva_Hotel_by_Royal-Hong_Kong.html
22,      The T Hotel,/Hotel_Review-g294217-d1969654-Reviews-The_T_Hotel-Hong_Kong.html
