Rank,name,No_of_reviews,Rates,Hotel_class,MinPrice,MaxPrice,AvgPrice
0,The Upper House,4168,5.0,5.0,3193.0,4790.0,3991.5
1,W Hong Kong,6517,5.0,5.0,2087.0,2905.0,2496.0
2,Hotel ICON,8786,5.0,5.0,1137.0,2422.0,1779.5
3,The St. Regis Hong Kong,913,5.0,5.0,3676.0,5140.0,4408.0
4,The Ritz-Carlton Hong Kong,5732,5.0,5.0,3076.0,3980.0,3528.0
5,The Murray Hong Kong a Niccolo Hotel,2761,5.0,5.0,2212.0,3762.0,2987.0
6,Mandarin Oriental Hong Kong,5028,5.0,5.0,2796.0,4634.0,3715.0
7,Nina Hotel Causeway Bay,1922,4.5,4.0,319.0,1752.0,1035.5
8,Island Shangri-La Hong Kong,3740,4.5,5.0,2414.0,3536.0,2975.0
9,Nina Hotel Kowloon East,1652,4.5,4.0,460.0,1114.0,787.0
10,One-Eight-One Hotel & Serviced Residences,258,5.0,4.0,787.0,1612.0,1199.5
11,Four Seasons Hotel Hong Kong,5538,5.0,5.0,3318.0,5016.0,4167.0
12,K11 Artus,792,5.0,5.0,2625.0,4120.0,3372.5
13,The Landmark Mandarin Oriental Hong Kong,1424,5.0,5.0,4019.0,5202.0,4610.5
14,Lodgewood by Nina Hospitality I Mong Kok,945,4.5,4.0,327.0,1262.0,794.5
15,Nina Hotel Island South,1493,4.5,4.0,304.0,1083.0,693.5
16,Cordis Hong Kong,3404,5.0,5.0,958.0,1495.0,1226.5
17,The Fleming Hong Kong,858,4.5,4.0,779.0,1877.0,1328.0
18,Nina Hotel Tsuen Wan West,3798,4.5,5.0,389.0,1293.0,841.0
19,Two MacDonnell Road,438,4.5,4.0,903.0,1550.0,1226.5
20,Hotel Madera Hollywood,253,5.0,5.0,911.0,3380.0,2145.5
21,The T Hotel,655,5.0,4.0,927.0,1121.0,1024.0
22,Alva Hotel by Royal,312,4.5,5.0,405.0,864.0,634.5
23,Ovolo Central,1110,4.5,4.0,888.0,2095.0,1491.5
24,Kowloon Shangri-La Hong Kong,5468,4.5,5.0,1145.0,1924.0,1534.5
25,Lanson Place Causeway Bay Hong Kong,1837,4.5,4.0,1106.0,2056.0,1581.0
26,The Olympian Hong Kong,255,5.0,5.0,1129.0,2344.0,1736.5
28,InterContinental Hong Kong,4992,4.5,5.0,1573.0,2632.0,2102.5
29,The Jervois,571,4.5,4.0,1036.0,3154.0,2095.0
30,Ovolo Southside,1723,4.5,4.0,576.0,1145.0,860.5
31,Hotel Stage,640,4.5,4.0,724.0,1542.0,1133.0
32,Mira Moon Hotel,1589,4.5,5.0,888.0,2508.0,1698.0
33,Silka Tsuen Wan Hong Kong,636,4.5,4.0,241.0,903.0,572.0
34,Kerry Hotel Hong Kong,1133,4.5,5.0,1324.0,2118.0,1721.0
35,Royal Plaza Hotel,5530,4.5,5.0,475.0,1433.0,954.0
36,The Park Lane Hong Kong a Pullman Hotel,2814,4.5,4.0,1176.0,2056.0,1616.0
37,Rosewood Hong Kong,1078,4.5,5.0,3294.0,4642.0,3968.0
38,The Langham Hong Kong,3104,4.5,5.0,1090.0,2033.0,1561.5
39,Butterfly on Wellington,1783,4.5,4.0,506.0,1417.0,961.5
40,Kew Green Hotel Wanchai Hong Kong,1782,4.5,4.0,296.0,1620.0,958.0
41,One96 - Elegant Full Floor Suite Hotel,398,4.5,4.0,1410.0,3146.0,2278.0
42,Metropark Hotel Mongkok,2165,4.5,3.0,280.0,732.0,506.0
43,Grand Hyatt Hong Kong,4403,4.5,5.0,2079.0,2936.0,2507.5
44,The Pottinger Hong Kong,693,4.5,5.0,1207.0,3209.0,2208.0
45,New World Millennium Hong Kong Hotel,2370,4.5,5.0,966.0,1690.0,1328.0
46,The Luxe Manor,1840,4.5,4.0,506.0,1464.0,985.0
47,TUVE,606,4.5,4.0,569.0,1651.0,1110.0
48,Page148,547,4.5,4.0,506.0,1324.0,915.0
49,The Royal Garden,3791,4.5,5.0,522.0,1713.0,1117.5
50,Dorsett Mongkok Hong Kong,5252,4.5,4.0,327.0,1145.0,736.0
51,99 Bonham All Suite Hotel,1227,4.5,4.0,755.0,2632.0,1693.5
52,Butterfly on LKF,181,4.5,3.0,498.0,1752.0,1125.0
53,The Peninsula Hong Kong,2277,4.5,4.0,3692.0,5280.0,4486.0
54,InterContinental Grand Stanford,3646,4.5,5.0,896.0,2064.0,1480.0
55,Royal Park Hotel,1558,4.5,4.0,436.0,1153.0,794.5
56,The Putman All Suite Hotel,209,4.5,4.0,1402.0,2500.0,1951.0
57,Renaissance Hong Kong Harbour View Hotel,3888,4.5,5.0,1480.0,2765.0,2122.5
58,Hong Kong Disneyland Hotel,2687,4.5,5.0,1690.0,2897.0,2293.5
59,Novotel Citygate Hong Kong,5218,4.5,4.0,958.0,1550.0,1254.0
60,Harbour Grand Hong Kong,4714,4.5,5.0,794.0,2033.0,1413.5
61,JW Marriott Hotel Hong Kong,2979,4.5,5.0,2173.0,3871.0,3022.0
62,Stanford Hillview Hotel,1088,4.0,4.0,350.0,1231.0,790.5
63,Regal Kowloon Hotel,3210,4.0,4.0,405.0,1324.0,864.5
64,Prince Hotel (Marco Polo Hotels),1548,4.5,4.0,935.0,2843.0,1889.0
65,Conrad Hong Kong,4387,4.5,5.0,2266.0,4424.0,3345.0
66,Butterfly on Prat,3749,4.5,4.0,389.0,1160.0,774.5
67,Hotel Madera Hong Kong,1352,4.5,4.0,374.0,2804.0,1589.0
68,The Sheung Wan by Ovolo,155,4.5,4.0,553.0,1121.0,837.0
69,EAST Hong Kong,1418,4.5,4.0,950.0,2017.0,1483.5
70,The Perkin Hotel,540,4.5,4.0,436.0,1706.0,1071.0
71,Hotel Indigo Hong Kong Island an IHG hotel,1267,4.5,4.0,927.0,2461.0,1694.0
72,Stanford Hotel Hong Kong,956,4.0,3.0,343.0,989.0,666.0
73,Hong Kong Ocean Park Marriott Hotel,897,4.5,4.0,880.0,1869.0,1374.5
74,Eaton Residences Wan Chai Gap Road,319,4.5,4.0,607.0,1854.0,1230.5
75,The Salisbury - YMCA of Hong Kong,3279,4.5,3.5,483.0,1262.0,872.5
76,Hyatt Centric Victoria Harbour Hong Kong,1929,4.5,5.0,701.0,1791.0,1246.0
77,Dorsett Kwun Tong Hong Kong,572,4.5,4.0,374.0,1254.0,814.0
78,the Figo,1577,4.5,3.0,405.0,5857.0,3131.0
79,Dorsett Wanchai,4005,4.0,4.0,421.0,1425.0,923.0
80,Crowne Plaza Hong Kong Causeway Bay  an IHG hotel,1132,4.5,4.0,1324.0,2352.0,1838.0
81,Novotel Century Hong Kong,3971,4.0,4.0,576.0,1285.0,930.5
82,Courtyard Hong Kong,1728,4.5,4.0,935.0,2445.0,1690.0
83,Residence G Hong Kong (by Hotel G),846,4.5,3.5,460.0,974.0,717.0
84,Harbour Grand Kowloon,3761,4.5,5.0,888.0,1963.0,1425.5
85,Crowne Plaza Hong Kong Kowloon East an IHG hotel,2118,4.5,5.0,623.0,1269.0,946.0
86,Metropark Hotel Causeway Bay Hong Kong,2975,4.5,4.0,343.0,1324.0,833.5
87,Royal View Hotel,1524,4.0,4.0,312.0,662.0,487.0
88,Hong Kong SkyCity Marriott Hotel,3696,4.5,5.0,1199.0,2601.0,1900.0
89,Gloucester Hotel,377,4.5,4.0,421.0,607.0,514.0
90,Travelodge Central Hollywood Road,1737,4.0,3.0,327.0,1005.0,666.0
91,Burlington Hotel,345,4.5,3.0,498.0,1464.0,981.0
92,Dorsett Tsuen Wan Hong Kong,923,4.0,4.0,273.0,818.0,545.5
93,The Mercer Hong Kong,664,4.5,4.0,779.0,1924.0,1351.5
94,Eaton HK,1422,4.5,4.0,584.0,1067.0,825.5
95,JEN Hong Kong by Shangri-La,2172,4.0,4.0,701.0,1238.0,969.5
96,OZO Wesley Hong Kong,1403,4.0,3.5,607.0,1978.0,1292.5
97,Park Hotel Hong Kong,2313,4.0,4.0,460.0,1542.0,1001.0
98,Hilton Garden Inn Hong Kong Mongkok,944,4.0,3.0,436.0,1324.0,880.0
99,Novotel Hong Kong Nathan Road Kowloon,5854,4.0,4.0,444.0,927.0,685.5
100,Hyatt Regency Hong Kong Tsim Sha Tsui,3535,4.5,4.0,1121.0,1885.0,1503.0
101,The Mira Hong Kong,4081,4.5,5.0,810.0,1854.0,1332.0
102,Le Meridien Hong Kong Cyberport,852,4.0,5.0,1075.0,2181.0,1628.0
103,Courtyard Hong Kong Sha Tin,1012,4.0,4.0,849.0,1472.0,1160.5
104,Island Pacific Hotel,2286,4.0,3.0,467.0,1160.0,813.5
105,Gloucester Luk Kwok Hong Kong,468,4.0,4.0,779.0,1822.0,1300.5
106,Pentahotel Hong Kong Kowloon,1562,4.0,4.0,467.0,833.0,650.0
